origin,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
EWR,2013,3,21,13,37.04,12.92,36.6,330.0,8.05546,20.71404,0.0,1005.3,10.0,2013-03-21 17:00:00+00:00
EWR,2013,3,22,11,37.04,15.08,40.24,290.0,20.71404,25.31716,0.0,1009.5,10.0,2013-03-22 15:00:00+00:00
EWR,2013,3,22,12,39.92,15.08,35.95,290.0,17.261699999999998,28.7695,0.0,1009.1,10.0,2013-03-22 16:00:00+00:00
EWR,2013,3,22,13,41.0,15.08,34.47,300.0,17.261699999999998,24.16638,0.0,1008.7,10.0,2013-03-22 17:00:00+00:00
EWR,2013,3,22,14,42.08,15.08,33.06,280.0,21.86482,28.7695,0.0,1008.4,10.0,2013-03-22 18:00:00+00:00
EWR,2013,3,23,6,32.0,19.04,58.37,280.0,14.96014,,0.0,1012.1,10.0,2013-03-23 10:00:00+00:00
EWR,2013,3,23,8,37.04,19.04,47.75,280.0,13.809359999999998,23.0156,0.0,1012.4,10.0,2013-03-23 12:00:00+00:00
EWR,2013,3,23,11,46.04,19.04,33.73,300.0,21.86482,28.7695,0.0,1011.7,10.0,2013-03-23 15:00:00+00:00
EWR,2013,3,23,16,48.2,15.98,29.56,310.0,23.0156,29.92028,0.0,,10.0,2013-03-23 20:00:00+00:00
EWR,2013,3,25,13,39.2,30.92,72.46,50.0,20.71404,29.92028,0.0,,3.0,2013-03-25 17:00:00+00:00
EWR,2013,3,25,14,37.04,33.08,85.43,50.0,11.5078,20.71404,0.01,998.5,3.0,2013-03-25 18:00:00+00:00
EWR,2013,3,26,9,42.98,30.02,59.93,270.0,8.05546,,0.0,1007.2,10.0,2013-03-26 13:00:00+00:00
EWR,2013,3,26,17,48.92,26.06,40.68,330.0,14.96014,21.86482,0.0,1008.0,10.0,2013-03-26 21:00:00+00:00
EWR,2013,3,27,12,48.92,23.0,35.8,280.0,16.11092,21.86482,0.0,1012.4,10.0,2013-03-27 16:00:00+00:00
EWR,2013,3,27,13,48.02,24.98,40.22,290.0,17.261699999999998,25.31716,0.0,1012.2,10.0,2013-03-27 17:00:00+00:00
EWR,2013,3,27,20,46.04,26.96,47.05,300.0,17.261699999999998,21.86482,0.0,1014.4,10.0,2013-03-28 00:00:00+00:00
EWR,2013,3,28,11,50.0,26.96,42.73,360.0,13.809359999999998,,0.0,,10.0,2013-03-28 15:00:00+00:00
EWR,2013,3,30,11,55.94,23.0,27.65,290.0,11.5078,18.41248,0.0,1021.0,10.0,2013-03-30 15:00:00+00:00
EWR,2013,3,31,8,44.06,32.0,62.3,0.0,0.0,,0.0,1019.2,10.0,2013-03-31 12:00:00+00:00
EWR,2013,3,31,9,48.92,32.0,51.85,180.0,4.60312,,0.0,1018.8,10.0,2013-03-31 13:00:00+00:00
EWR,2013,3,31,14,51.98,37.04,56.58,140.0,9.20624,17.261699999999998,0.0,1013.9,10.0,2013-03-31 18:00:00+00:00
EWR,2013,3,31,15,51.08,37.04,58.49,140.0,11.5078,18.41248,0.0,1012.9,10.0,2013-03-31 19:00:00+00:00
EWR,2013,4,1,9,53.06,44.96,73.89,230.0,11.5078,,0.0,1005.3,9.0,2013-04-01 13:00:00+00:00
EWR,2013,4,1,11,59.0,42.98,55.24,230.0,17.261699999999998,26.46794,0.0,1004.6,10.0,2013-04-01 15:00:00+00:00
EWR,2013,4,2,13,42.98,8.96,24.36,290.0,18.41248,28.7695,0.0,1015.4,10.0,2013-04-02 17:00:00+00:00
EWR,2013,4,3,6,30.92,12.02,44.92,240.0,6.904679999999999,,0.0,1021.0,10.0,2013-04-03 10:00:00+00:00
EWR,2013,4,3,8,35.96,12.92,38.2,260.0,11.5078,21.86482,0.0,1021.6,10.0,2013-04-03 12:00:00+00:00
EWR,2013,4,4,14,53.06,19.94,26.98,210.0,6.904679999999999,,0.0,1023.4,10.0,2013-04-04 18:00:00+00:00
EWR,2013,4,4,20,48.02,21.92,35.38,210.0,13.809359999999998,,0.0,1020.2,10.0,2013-04-05 00:00:00+00:00
EWR,2013,4,5,6,41.0,30.92,67.09,160.0,4.60312,,0.0,1013.9,10.0,2013-04-05 10:00:00+00:00
EWR,2013,4,5,7,42.08,30.92,64.35,0.0,0.0,,0.0,1013.5,10.0,2013-04-05 11:00:00+00:00
EWR,2013,4,5,10,51.08,24.08,34.57,350.0,4.60312,,0.0,1011.1,10.0,2013-04-05 14:00:00+00:00
EWR,2013,4,5,13,62.96,12.92,13.95,320.0,8.05546,24.16638,0.0,1007.2,10.0,2013-04-05 17:00:00+00:00
EWR,2013,4,5,17,60.08,14.0,16.19,350.0,20.71404,27.61872,0.0,1008.2,10.0,2013-04-05 21:00:00+00:00
EWR,2013,4,6,14,53.06,6.08,14.65,270.0,5.7539,,0.0,1024.8,10.0,2013-04-06 18:00:00+00:00
EWR,2013,4,6,15,51.98,6.08,15.24,360.0,5.7539,,0.0,1024.5,10.0,2013-04-06 19:00:00+00:00
EWR,2013,4,6,20,44.06,28.04,53.03,160.0,6.904679999999999,,0.0,1026.1,10.0,2013-04-07 00:00:00+00:00
