tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N12125,1998.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N12126,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N12136,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N12145,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N12163,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N12167,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N12172,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N12195,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N12201,2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N12218,1998.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N12540,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N12552,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N12564,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N12567,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N12569,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N126UW,2009.0,Fixed wing multi engine,AIRBUS,A320-214,2,182,,Turbo-fan
N12900,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N12921,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N12922,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N12924,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N12967,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N12996,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13123,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N13124,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N13133,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N13161,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N13202,2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N13248,1999.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N132EV,2009.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan
N133EV,2009.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan
N13538,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13550,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13553,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13566,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13716,1998.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N13718,1999.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N13903,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13908,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13913,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13914,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13949,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13955,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13956,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13958,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13968,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13969,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13970,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13975,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13978,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13979,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13988,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13989,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13992,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13995,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N13997,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14102,1994.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N14105,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N14106,1994.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N14116,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N14117,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N14118,1997.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N14143,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N14148,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N14153,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N14158,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N14162,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N14168,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N14174,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N14177,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N14179,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N14180,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N14188,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N14198,2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N14203,2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N14228,1999.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N14231,1999.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N14237,1999.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N14542,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14543,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14558,,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14562,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14570,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14573,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14704,1998.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N147PQ,2007.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan
N14902,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14904,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14905,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14907,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14920,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14923,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14952,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14959,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14960,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14972,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14974,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14977,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14991,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14993,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N14998,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N152UW,2013.0,Fixed wing multi engine,AIRBUS,A321-211,2,199,,Turbo-fan
N154DL,1991.0,Fixed wing multi engine,BOEING,767-3P6,2,290,,Turbo-fan
N15572,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N15574,,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N155UW,2013.0,Fixed wing multi engine,AIRBUS,A321-211,2,199,,Turbo-fan
N15710,1998.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N15712,1998.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N15910,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N15980,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N15986,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N16112,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N16147,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N16149,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N16170,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N16178,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N16183,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N161UW,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet
N16217,1998.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N16541,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N16561,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N16571,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N16703,1998.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N16709,1998.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N16732,1999.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N168AT,2004.0,Fixed wing multi engine,BOEING,737-76N,2,149,,Turbo-fan
N16911,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N16918,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N16919,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N16951,1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N16976,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N16981,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N16987,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N16999,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N169UW,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet
N170US,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet
N17104,1994.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N17105,1994.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N17108,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N17115,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N17126,1998.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N17139,2000.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N17146,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N171US,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet
N17244,1999.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N17245,1999.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N173DZ,1998.0,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan
N173US,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet
N174US,,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet
N17560,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N175DZ,1999.0,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan
N176AT,2005.0,Fixed wing multi engine,BOEING,737-76N,2,149,,Turbo-fan
N176PQ,2008.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan
N17719,1999.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N17730,1999.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N177US,,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet
N178JB,2005.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N178US,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet
N17984,2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N179DN,1991.0,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan
N179JB,2005.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N179UW,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet
N18101,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N18112,1995.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N18119,1997.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N18120,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N181PQ,2008.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan
N181UW,,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet
N182UW,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet
N183JB,2005.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N183UW,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet
N184JB,2005.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N18556,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N18557,,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N185UW,2002.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet
N186DN,1995.0,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan
N186PQ,2008.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan
N186US,2002.0,Fixed wing multi engine,AIRBUS,A321-211,2,199,,Turbo-fan
N187DN,1996.0,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan
N187JB,2005.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N189DN,1997.0,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan
N189UW,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet
N190DN,1997.0,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan
N190JB,2005.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N19130,1998.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N19136,1999.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N192DN,1997.0,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan
N192JB,2005.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N193DN,1997.0,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan
N193JB,2005.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N194DN,1997.0,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan
N194UW,,Fixed wing multi engine,AIRBUS,A321-211,2,199,,Turbo-fan
N19554,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N196UW,2009.0,Fixed wing multi engine,AIRBUS,A321-211,2,199,,Turbo-fan
N197JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N197PQ,2008.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan
N198JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N198UW,2013.0,Fixed wing multi engine,AIRBUS,A321-211,2,199,,Turbo-fan
N19966,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N199UW,2013.0,Fixed wing multi engine,AIRBUS,A321-211,2,199,,Turbo-fan
N201AA,1959.0,Fixed wing single engine,CESSNA,150,1,2,90.0,Reciprocating
N202FR,2008.0,Fixed wing multi engine,AIRBUS,A320-214,2,182,,Turbo-fan
N203FR,2002.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan
N203JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N203WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N206JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N210FR,2011.0,Fixed wing multi engine,AIRBUS,A320-214,2,182,,Turbo-fan
N21108,1994.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N21129,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N21144,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N21154,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N21197,2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N213WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N216FR,2011.0,Fixed wing multi engine,AIRBUS,A320-214,2,182,,Turbo-fan
N216JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N21723,1999.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N228JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N22909,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N22971,1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N229JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N231JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N236JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N23707,1998.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N23721,1999.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N237WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N238JB,,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N239JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N24103,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N24128,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N24211,1998.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N243WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N24702,1998.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N24715,1998.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N247JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N249JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N258JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N26215,1998.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N26545,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N26549,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N265WN,2007.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N266JB,2007.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N27190,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N27205,2000.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N27213,1998.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N27239,1999.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N273JB,2007.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N276WN,2007.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N27722,1999.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N27724,1999.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N27733,1999.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N279JB,2007.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N280WN,2007.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N281AT,,Fixed wing multi engine,AIRBUS INDUSTRIE,A340-313,4,375,,Turbo-jet
N281JB,2007.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N283JB,2007.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N28457,2012.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N284JB,2008.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N284WN,2007.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N285WN,2007.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N286WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N292JB,2008.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N292PQ,2013.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan
N292WN,2007.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N293PQ,2013.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan
N294JB,2008.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N296JB,2008.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N29717,1999.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
