year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,2,1724.0,1725,-1.0,2116.0,2105,11.0,DL,513,N712TW,JFK,LAX,381.0,2475,17,25,2013-01-02 22:00:00+00:00
2013,1,2,1828.0,1829,-1.0,2107.0,2053,14.0,DL,1407,N613DL,JFK,DTW,95.0,509,18,29,2013-01-02 23:00:00+00:00
2013,1,2,1833.0,1800,33.0,2045.0,2001,44.0,US,373,N552UW,JFK,CLT,95.0,541,18,0,2013-01-02 23:00:00+00:00
2013,1,2,1917.0,1908,9.0,2255.0,2257,-2.0,UA,927,N481UA,EWR,PHX,311.0,2133,19,8,2013-01-03 00:00:00+00:00
2013,1,2,2354.0,2359,-5.0,413.0,437,-24.0,B6,727,N789JB,JFK,BQN,180.0,1576,23,59,2013-01-03 04:00:00+00:00
2013,1,3,607.0,610,-3.0,756.0,818,-22.0,EV,4941,N755EV,EWR,MSP,144.0,1008,6,10,2013-01-03 11:00:00+00:00
2013,1,3,627.0,630,-3.0,947.0,1018,-31.0,US,27,N520UW,JFK,PHX,292.0,2153,6,30,2013-01-03 11:00:00+00:00
2013,1,3,1255.0,1300,-5.0,1527.0,1529,-2.0,EV,4950,N758EV,EWR,ATL,129.0,746,13,0,2013-01-03 18:00:00+00:00
2013,1,3,1258.0,1253,5.0,1601.0,1555,6.0,UA,1673,N35260,EWR,MCO,162.0,937,12,53,2013-01-03 17:00:00+00:00
2013,1,3,1625.0,1610,15.0,1739.0,1732,7.0,9E,3689,N8924B,JFK,PHL,37.0,94,16,10,2013-01-03 21:00:00+00:00
2013,1,3,1745.0,1745,0.0,2034.0,2042,-8.0,B6,547,N641JB,EWR,PBI,153.0,1023,17,45,2013-01-03 22:00:00+00:00
2013,1,3,1755.0,1745,10.0,2110.0,2117,-7.0,DL,1394,N399DA,JFK,PDX,325.0,2454,17,45,2013-01-03 22:00:00+00:00
2013,1,3,1853.0,1900,-7.0,2014.0,2051,-37.0,DL,1255,N317NB,LGA,PIT,61.0,335,19,0,2013-01-04 00:00:00+00:00
2013,1,3,2046.0,2040,6.0,2325.0,2314,11.0,B6,619,N273JB,JFK,JAX,130.0,828,20,40,2013-01-04 01:00:00+00:00
2013,1,4,603.0,608,-5.0,703.0,725,-22.0,UA,370,N813UA,EWR,BOS,42.0,200,6,8,2013-01-04 11:00:00+00:00
2013,1,4,814.0,820,-6.0,1000.0,957,3.0,9E,3578,N8492C,JFK,BUF,60.0,301,8,20,2013-01-04 13:00:00+00:00
2013,1,4,830.0,810,20.0,1034.0,948,46.0,B6,1051,N179JB,JFK,PIT,77.0,340,8,10,2013-01-04 13:00:00+00:00
2013,1,4,1307.0,1305,2.0,1522.0,1532,-10.0,UA,1256,N76528,EWR,MSY,183.0,1167,13,5,2013-01-04 18:00:00+00:00
2013,1,4,1447.0,1450,-3.0,1807.0,1755,12.0,AA,1813,N5FTAA,JFK,MCO,148.0,944,14,50,2013-01-04 19:00:00+00:00
2013,1,4,1650.0,1609,41.0,1938.0,1910,28.0,B6,157,N784JB,JFK,MCO,138.0,944,16,9,2013-01-04 21:00:00+00:00
2013,1,4,1827.0,1835,-8.0,1925.0,1950,-25.0,MQ,3944,N845MQ,JFK,BWI,39.0,184,18,35,2013-01-04 23:00:00+00:00
2013,1,4,2217.0,2130,47.0,32.0,18,14.0,B6,199,N531JB,JFK,LAS,294.0,2248,21,30,2013-01-05 02:00:00+00:00
2013,1,5,1534.0,1500,34.0,1819.0,1751,28.0,UA,1618,N33203,EWR,TPA,152.0,997,15,0,2013-01-05 20:00:00+00:00
2013,1,5,1641.0,1645,-4.0,1937.0,2005,-28.0,AA,181,N323AA,JFK,LAX,335.0,2475,16,45,2013-01-05 21:00:00+00:00
2013,1,5,1800.0,1800,0.0,1911.0,1938,-27.0,EV,4962,N712EV,LGA,BUF,50.0,292,18,0,2013-01-05 23:00:00+00:00
2013,1,6,1300.0,1259,1.0,1422.0,1418,4.0,B6,32,N198JB,JFK,ROC,57.0,264,12,59,2013-01-06 17:00:00+00:00
2013,1,6,1653.0,1655,-2.0,1955.0,2030,-35.0,VX,413,N640VA,JFK,LAX,339.0,2475,16,55,2013-01-06 21:00:00+00:00
2013,1,6,1728.0,1730,-2.0,1938.0,1926,12.0,US,449,N651AW,EWR,CLT,95.0,529,17,30,2013-01-06 22:00:00+00:00
2013,1,7,720.0,722,-2.0,835.0,857,-22.0,UA,393,N446UA,EWR,ORD,113.0,719,7,22,2013-01-07 12:00:00+00:00
2013,1,7,1250.0,1253,-3.0,1535.0,1555,-20.0,UA,1641,N35260,EWR,MCO,146.0,937,12,53,2013-01-07 17:00:00+00:00
2013,1,7,1834.0,1840,-6.0,2006.0,2020,-14.0,MQ,3730,N526MQ,EWR,ORD,115.0,719,18,40,2013-01-07 23:00:00+00:00
2013,1,7,1917.0,1920,-3.0,2212.0,2246,-34.0,DL,83,N3750D,JFK,FLL,153.0,1069,19,20,2013-01-08 00:00:00+00:00
2013,1,7,1956.0,2000,-4.0,2104.0,2143,-39.0,DL,402,N340NB,JFK,BOS,35.0,187,20,0,2013-01-08 01:00:00+00:00
2013,1,8,524.0,525,-1.0,837.0,820,17.0,UA,1018,N33264,EWR,IAH,226.0,1400,5,25,2013-01-08 10:00:00+00:00
2013,1,8,1030.0,1030,0.0,1344.0,1355,-11.0,AA,179,N384AA,JFK,SFO,356.0,2586,10,30,2013-01-08 15:00:00+00:00
2013,1,8,1344.0,1345,-1.0,1641.0,1641,0.0,B6,1783,N656JB,JFK,MCO,143.0,944,13,45,2013-01-08 18:00:00+00:00
2013,1,8,1549.0,1555,-6.0,1812.0,1810,2.0,EV,3820,N13553,EWR,SDF,116.0,642,15,55,2013-01-08 20:00:00+00:00
2013,1,8,1951.0,2000,-9.0,2050.0,2114,-24.0,US,2142,N957UW,LGA,BOS,38.0,184,20,0,2013-01-09 01:00:00+00:00
2013,1,9,606.0,610,-4.0,1040.0,1051,-11.0,B6,709,N624JB,JFK,SJU,188.0,1598,6,10,2013-01-09 11:00:00+00:00
2013,1,9,653.0,700,-7.0,950.0,1019,-29.0,DL,2003,N953DL,LGA,MIA,151.0,1096,7,0,2013-01-09 12:00:00+00:00
2013,1,9,904.0,905,-1.0,1207.0,1226,-19.0,DL,2379,N358NB,LGA,FLL,154.0,1076,9,5,2013-01-09 14:00:00+00:00
2013,1,9,1153.0,1200,-7.0,1414.0,1432,-18.0,EV,4090,N12922,EWR,JAX,125.0,820,12,0,2013-01-09 17:00:00+00:00
2013,1,9,1254.0,1259,-5.0,1548.0,1556,-8.0,B6,991,N329JB,JFK,PBI,155.0,1028,12,59,2013-01-09 17:00:00+00:00
2013,1,9,1616.0,1620,-4.0,1858.0,1915,-17.0,UA,1132,N76517,EWR,MCO,143.0,937,16,20,2013-01-09 21:00:00+00:00
2013,1,9,1654.0,1700,-6.0,1920.0,1935,-15.0,DL,2042,N308DE,EWR,ATL,119.0,746,17,0,2013-01-09 22:00:00+00:00
2013,1,9,1906.0,1727,99.0,2246.0,2040,126.0,UA,1100,N16217,EWR,SEA,368.0,2402,17,27,2013-01-09 22:00:00+00:00
2013,1,9,1954.0,2000,-6.0,2045.0,2101,-16.0,EV,4309,N36915,EWR,ALB,36.0,143,20,0,2013-01-10 01:00:00+00:00
2013,1,10,628.0,631,-3.0,727.0,741,-14.0,B6,1002,N804JB,JFK,BOS,38.0,187,6,31,2013-01-10 11:00:00+00:00
2013,1,10,704.0,705,-1.0,912.0,933,-21.0,EV,4583,N11187,EWR,MSY,168.0,1167,7,5,2013-01-10 12:00:00+00:00
2013,1,10,746.0,750,-4.0,925.0,940,-15.0,9E,3611,N801AY,JFK,PIT,69.0,340,7,50,2013-01-10 12:00:00+00:00
2013,1,10,1306.0,1315,-9.0,1414.0,1431,-17.0,EV,4120,N16976,EWR,BUF,53.0,282,13,15,2013-01-10 18:00:00+00:00
2013,1,10,1311.0,1315,-4.0,1503.0,1520,-17.0,MQ,4564,N713MQ,LGA,DTW,85.0,502,13,15,2013-01-10 18:00:00+00:00
2013,1,10,1442.0,1442,0.0,1659.0,1658,1.0,EV,4181,N13124,EWR,MCI,177.0,1092,14,42,2013-01-10 19:00:00+00:00
2013,1,10,1447.0,1450,-3.0,1614.0,1640,-26.0,MQ,4403,N856MQ,JFK,RDU,71.0,427,14,50,2013-01-10 19:00:00+00:00
2013,1,11,605.0,607,-2.0,810.0,819,-9.0,EV,4559,N14904,EWR,CVG,102.0,569,6,7,2013-01-11 11:00:00+00:00
2013,1,11,625.0,630,-5.0,836.0,859,-23.0,DL,2006,N340NB,LGA,MSY,166.0,1183,6,30,2013-01-11 11:00:00+00:00
2013,1,11,719.0,725,-6.0,938.0,1030,-52.0,AS,11,N508AS,EWR,SEA,304.0,2402,7,25,2013-01-11 12:00:00+00:00
2013,1,11,923.0,930,-7.0,1228.0,1246,-18.0,B6,375,N537JB,LGA,FLL,160.0,1076,9,30,2013-01-11 14:00:00+00:00
2013,1,11,2115.0,2125,-10.0,2226.0,2250,-24.0,MQ,4660,N3AEMQ,LGA,BNA,111.0,764,21,25,2013-01-12 02:00:00+00:00
2013,1,12,652.0,655,-3.0,1029.0,1030,-1.0,DL,1415,N3751B,JFK,SLC,295.0,1990,6,55,2013-01-12 11:00:00+00:00
2013,1,12,855.0,900,-5.0,1104.0,1146,-42.0,DL,1747,N640DL,LGA,ATL,105.0,762,9,0,2013-01-12 14:00:00+00:00
2013,1,12,1123.0,1129,-6.0,1421.0,1438,-17.0,B6,133,N324JB,JFK,RSW,161.0,1074,11,29,2013-01-12 16:00:00+00:00
2013,1,12,1324.0,1330,-6.0,1544.0,1603,-19.0,DL,2043,N3771K,JFK,ATL,112.0,760,13,30,2013-01-12 18:00:00+00:00
2013,1,12,1427.0,1430,-3.0,1746.0,1815,-29.0,DL,2126,N718TW,JFK,SFO,344.0,2586,14,30,2013-01-12 19:00:00+00:00
2013,1,12,1729.0,1705,24.0,2109.0,2010,59.0,AA,1905,N4YAAA,EWR,DFW,245.0,1372,17,5,2013-01-12 22:00:00+00:00
2013,1,13,658.0,700,-2.0,959.0,1027,-28.0,B6,671,N806JB,JFK,LAX,337.0,2475,7,0,2013-01-13 12:00:00+00:00
2013,1,13,1024.0,1030,-6.0,1202.0,1215,-13.0,MQ,4471,N711MQ,LGA,RDU,70.0,431,10,30,2013-01-13 15:00:00+00:00
2013,1,13,1053.0,1100,-7.0,1407.0,1425,-18.0,UA,642,N532UA,JFK,SFO,354.0,2586,11,0,2013-01-13 16:00:00+00:00
2013,1,13,1441.0,1445,-4.0,1631.0,1647,-16.0,US,1753,N556UW,LGA,CLT,87.0,544,14,45,2013-01-13 19:00:00+00:00
2013,1,13,1512.0,1510,2.0,1745.0,1801,-16.0,UA,750,N519UA,EWR,MCO,131.0,937,15,10,2013-01-13 20:00:00+00:00
2013,1,14,1059.0,1100,-1.0,1413.0,1424,-11.0,DL,2044,N934DL,LGA,MIA,152.0,1096,11,0,2013-01-14 16:00:00+00:00
2013,1,14,1340.0,1345,-5.0,1651.0,1647,4.0,UA,385,N483UA,EWR,IAH,230.0,1400,13,45,2013-01-14 18:00:00+00:00
2013,1,14,1442.0,1415,27.0,1724.0,1638,46.0,DL,935,N348NB,EWR,ATL,121.0,746,14,15,2013-01-14 19:00:00+00:00
2013,1,14,1510.0,1515,-5.0,1840.0,1805,35.0,UA,1421,N69154,EWR,IAH,234.0,1400,15,15,2013-01-14 20:00:00+00:00
2013,1,14,1819.0,1830,-11.0,2020.0,2044,-24.0,EV,5203,N758EV,EWR,DTW,90.0,488,18,30,2013-01-14 23:00:00+00:00
2013,1,14,1918.0,1920,-2.0,2316.0,2315,1.0,DL,1345,N3752,JFK,PHX,319.0,2153,19,20,2013-01-15 00:00:00+00:00
2013,1,14,1953.0,2000,-7.0,2248.0,2312,-24.0,B6,801,N653JB,JFK,FLL,147.0,1069,20,0,2013-01-15 01:00:00+00:00
2013,1,15,654.0,700,-6.0,803.0,807,-4.0,US,2116,N947UW,LGA,BOS,31.0,184,7,0,2013-01-15 12:00:00+00:00
2013,1,15,839.0,840,-1.0,1029.0,1030,-1.0,MQ,4521,N723MQ,LGA,RDU,83.0,431,8,40,2013-01-15 13:00:00+00:00
2013,1,15,936.0,845,51.0,1055.0,1006,49.0,EV,4112,N15910,EWR,RIC,59.0,277,8,45,2013-01-15 13:00:00+00:00
2013,1,15,1055.0,1100,-5.0,1210.0,1214,-4.0,US,2171,N702UW,LGA,DCA,53.0,214,11,0,2013-01-15 16:00:00+00:00
2013,1,16,707.0,646,21.0,949.0,905,44.0,UA,1609,N38443,EWR,DEN,238.0,1605,6,46,2013-01-16 11:00:00+00:00
2013,1,16,1223.0,1056,87.0,1324.0,1208,76.0,UA,1047,N12218,EWR,BOS,34.0,200,10,56,2013-01-16 15:00:00+00:00
2013,1,16,1413.0,1359,14.0,1721.0,1656,25.0,UA,523,N509UA,EWR,PBI,161.0,1023,13,59,2013-01-16 18:00:00+00:00
2013,1,16,1749.0,1750,-1.0,1855.0,1908,-13.0,B6,1307,N328JB,JFK,IAD,52.0,228,17,50,2013-01-16 22:00:00+00:00
2013,1,16,1850.0,1900,-10.0,2001.0,2018,-17.0,EV,5714,N830AS,JFK,IAD,51.0,228,19,0,2013-01-17 00:00:00+00:00
2013,1,16,1922.0,1856,26.0,2236.0,2204,32.0,UA,891,N464UA,LGA,IAH,222.0,1416,18,56,2013-01-16 23:00:00+00:00
2013,1,16,2147.0,2100,47.0,2238.0,2207,31.0,US,2144,N946UW,LGA,BOS,37.0,184,21,0,2013-01-17 02:00:00+00:00
2013,1,16,,610,,,817,,DL,1919,N373NW,LGA,MSP,,1020,6,10,2013-01-16 11:00:00+00:00
2013,1,17,829.0,829,0.0,1039.0,1012,27.0,EV,3815,N16918,EWR,GSO,91.0,445,8,29,2013-01-17 13:00:00+00:00
2013,1,17,1428.0,1435,-7.0,1653.0,1701,-8.0,DL,1344,N342NB,LGA,MCI,178.0,1107,14,35,2013-01-17 19:00:00+00:00
2013,1,17,1451.0,1459,-8.0,1720.0,1737,-17.0,B6,119,N621JB,JFK,MSY,182.0,1182,14,59,2013-01-17 19:00:00+00:00
2013,1,17,1539.0,1545,-6.0,1859.0,1850,9.0,DL,2377,N360NW,LGA,MCO,151.0,950,15,45,2013-01-17 20:00:00+00:00
2013,1,17,1647.0,1650,-3.0,1750.0,1820,-30.0,AA,1790,N3EWAA,JFK,BOS,39.0,187,16,50,2013-01-17 21:00:00+00:00
2013,1,17,1659.0,1700,-1.0,2019.0,2036,-17.0,DL,127,N711ZX,JFK,LAX,327.0,2475,17,0,2013-01-17 22:00:00+00:00
2013,1,17,1915.0,1759,76.0,2133.0,2014,79.0,EV,4397,N14174,EWR,MCI,172.0,1092,17,59,2013-01-17 22:00:00+00:00
2013,1,17,1924.0,1930,-6.0,2249.0,2243,6.0,DL,1435,N907DE,LGA,TPA,161.0,1010,19,30,2013-01-18 00:00:00+00:00
2013,1,18,624.0,630,-6.0,835.0,847,-12.0,EV,4419,N36915,EWR,IND,112.0,645,6,30,2013-01-18 11:00:00+00:00
2013,1,18,630.0,630,0.0,847.0,843,4.0,US,1433,N171US,LGA,CLT,96.0,544,6,30,2013-01-18 11:00:00+00:00
2013,1,18,700.0,705,-5.0,1010.0,1021,-11.0,B6,981,N598JB,JFK,FLL,160.0,1069,7,5,2013-01-18 12:00:00+00:00
2013,1,18,929.0,930,-1.0,1048.0,1103,-15.0,9E,3661,N8458A,JFK,ROC,56.0,264,9,30,2013-01-18 14:00:00+00:00
2013,1,18,1915.0,1920,-5.0,2218.0,2249,-31.0,DL,83,N931DL,JFK,FLL,152.0,1069,19,20,2013-01-19 00:00:00+00:00
2013,1,19,648.0,654,-6.0,858.0,914,-16.0,EV,4122,N14907,EWR,SDF,112.0,642,6,54,2013-01-19 11:00:00+00:00
2013,1,19,747.0,746,1.0,1030.0,1051,-21.0,UA,1162,N53442,EWR,IAH,199.0,1400,7,46,2013-01-19 12:00:00+00:00
2013,1,19,1557.0,1600,-3.0,1900.0,1917,-17.0,DL,1902,N978DL,LGA,PBI,150.0,1035,16,0,2013-01-19 21:00:00+00:00
2013,1,19,1626.0,1632,-6.0,1922.0,1925,-3.0,UA,508,N670UA,EWR,IAH,206.0,1400,16,32,2013-01-19 21:00:00+00:00
2013,1,19,1824.0,1829,-5.0,2013.0,2032,-19.0,US,681,N604AW,EWR,CLT,85.0,529,18,29,2013-01-19 23:00:00+00:00
2013,1,19,2025.0,1940,45.0,2128.0,2104,24.0,9E,4091,N836AY,JFK,BWI,42.0,184,19,40,2013-01-20 00:00:00+00:00
2013,1,20,832.0,840,-8.0,955.0,1010,-15.0,EV,4529,N11565,EWR,PIT,64.0,319,8,40,2013-01-20 13:00:00+00:00
2013,1,20,1153.0,1203,-10.0,1440.0,1506,-26.0,UA,1549,N14237,EWR,IAH,207.0,1400,12,3,2013-01-20 17:00:00+00:00
2013,1,20,1304.0,1250,14.0,1358.0,1355,3.0,B6,1006,N179JB,JFK,BOS,37.0,187,12,50,2013-01-20 17:00:00+00:00
2013,1,20,1540.0,1530,10.0,1733.0,1725,8.0,MQ,4146,N842MQ,JFK,CMH,87.0,483,15,30,2013-01-20 20:00:00+00:00
2013,1,20,1753.0,1750,3.0,2118.0,2107,11.0,UA,1228,N15712,EWR,SAN,363.0,2425,17,50,2013-01-20 22:00:00+00:00
2013,1,20,1928.0,1932,-4.0,2230.0,2230,0.0,UA,1416,N21723,EWR,IAH,216.0,1400,19,32,2013-01-21 00:00:00+00:00
2013,1,20,2347.0,1936,251.0,230.0,2208,262.0,EV,4333,N14177,EWR,TUL,208.0,1215,19,36,2013-01-21 00:00:00+00:00
2013,1,20,,1706,,,1808,,EV,4316,N16178,EWR,BWI,,169,17,6,2013-01-20 22:00:00+00:00
2013,1,21,656.0,700,-4.0,1012.0,1027,-15.0,B6,671,N643JB,JFK,LAX,346.0,2475,7,0,2013-01-21 12:00:00+00:00
2013,1,21,744.0,745,-1.0,1225.0,1234,-9.0,UA,1481,N57869,EWR,SJU,196.0,1608,7,45,2013-01-21 12:00:00+00:00
2013,1,21,1422.0,1435,-13.0,1532.0,1559,-27.0,YV,3750,N515MJ,LGA,IAD,57.0,229,14,35,2013-01-21 19:00:00+00:00
2013,1,21,1424.0,1359,25.0,1546.0,1517,29.0,EV,5712,N909EV,JFK,IAD,55.0,228,13,59,2013-01-21 18:00:00+00:00
2013,1,21,1556.0,1600,-4.0,1715.0,1717,-2.0,US,2181,N733UW,LGA,DCA,50.0,214,16,0,2013-01-21 21:00:00+00:00
2013,1,21,2129.0,1850,159.0,2339.0,2050,169.0,AA,2019,N559AA,LGA,STL,157.0,888,18,50,2013-01-21 23:00:00+00:00
2013,1,22,622.0,630,-8.0,829.0,831,-2.0,US,1507,N562UW,EWR,CLT,101.0,529,6,30,2013-01-22 11:00:00+00:00
2013,1,22,921.0,915,6.0,1131.0,1101,30.0,B6,1103,N198JB,JFK,RDU,87.0,427,9,15,2013-01-22 14:00:00+00:00
2013,1,22,1121.0,1114,7.0,1353.0,1341,12.0,UA,342,N565UA,LGA,DEN,240.0,1620,11,14,2013-01-22 16:00:00+00:00
2013,1,22,1249.0,1245,4.0,1410.0,1406,4.0,EV,3263,N17108,EWR,RIC,62.0,277,12,45,2013-01-22 17:00:00+00:00
2013,1,22,1259.0,1259,0.0,1459.0,1456,3.0,US,1459,N179UW,LGA,CLT,98.0,544,12,59,2013-01-22 17:00:00+00:00
2013,1,22,1538.0,1540,-2.0,1830.0,1900,-30.0,UA,161,N19130,JFK,LAX,331.0,2475,15,40,2013-01-22 20:00:00+00:00
2013,1,23,636.0,645,-9.0,915.0,952,-37.0,UA,719,N837UA,EWR,DFW,195.0,1372,6,45,2013-01-23 11:00:00+00:00
2013,1,23,653.0,705,-12.0,922.0,940,-18.0,MQ,4534,N719MQ,LGA,XNA,189.0,1147,7,5,2013-01-23 12:00:00+00:00
2013,1,23,701.0,705,-4.0,918.0,933,-15.0,EV,4583,N14203,EWR,MSY,172.0,1167,7,5,2013-01-23 12:00:00+00:00
2013,1,23,1229.0,1230,-1.0,1404.0,1405,-1.0,WN,283,N265WN,LGA,MKE,127.0,738,12,30,2013-01-23 17:00:00+00:00
2013,1,23,1240.0,1220,20.0,1408.0,1343,25.0,B6,66,N266JB,JFK,BUF,64.0,301,12,20,2013-01-23 17:00:00+00:00
2013,1,24,557.0,600,-3.0,815.0,815,0.0,FL,345,N966AT,LGA,ATL,119.0,762,6,0,2013-01-24 11:00:00+00:00
2013,1,24,900.0,905,-5.0,1018.0,1029,-11.0,B6,20,N316JB,JFK,ROC,59.0,264,9,5,2013-01-24 14:00:00+00:00
2013,1,24,904.0,820,44.0,1040.0,955,45.0,MQ,4655,N534MQ,LGA,BNA,120.0,764,8,20,2013-01-24 13:00:00+00:00
2013,1,24,1053.0,1100,-7.0,1455.0,1432,23.0,UA,1120,N13248,EWR,SFO,402.0,2565,11,0,2013-01-24 16:00:00+00:00
2013,1,24,1136.0,1100,36.0,1249.0,1209,40.0,US,2124,N955UW,LGA,BOS,41.0,184,11,0,2013-01-24 16:00:00+00:00
2013,1,24,1428.0,1359,29.0,1554.0,1517,37.0,EV,5712,N828AS,JFK,IAD,49.0,228,13,59,2013-01-24 18:00:00+00:00
2013,1,24,1605.0,1510,55.0,1747.0,1710,37.0,MQ,4579,N511MQ,LGA,CLT,83.0,544,15,10,2013-01-24 20:00:00+00:00
2013,1,24,1724.0,1635,49.0,1922.0,1841,41.0,B6,1085,N346JB,JFK,CLT,86.0,541,16,35,2013-01-24 21:00:00+00:00
2013,1,24,2101.0,2020,41.0,2317.0,2245,32.0,MQ,4662,N511MQ,LGA,ATL,105.0,762,20,20,2013-01-25 01:00:00+00:00
2013,1,25,1248.0,1250,-2.0,1511.0,1520,-9.0,WN,390,N454WN,LGA,DEN,248.0,1620,12,50,2013-01-25 17:00:00+00:00
2013,1,25,1704.0,1650,14.0,1812.0,1820,-8.0,AA,1790,N3FYAA,JFK,BOS,41.0,187,16,50,2013-01-25 21:00:00+00:00
2013,1,25,2021.0,1750,151.0,2159.0,1908,171.0,B6,1307,N258JB,JFK,IAD,50.0,228,17,50,2013-01-25 22:00:00+00:00
2013,1,26,715.0,725,-10.0,1035.0,1035,0.0,AS,11,N552AS,EWR,SEA,345.0,2402,7,25,2013-01-26 12:00:00+00:00
2013,1,26,833.0,830,3.0,1142.0,1138,4.0,UA,1645,N78285,EWR,PBI,148.0,1023,8,30,2013-01-26 13:00:00+00:00
2013,1,26,1451.0,1459,-8.0,1614.0,1625,-11.0,B6,12,N334JB,JFK,SYR,47.0,209,14,59,2013-01-26 19:00:00+00:00
2013,1,26,1527.0,1515,12.0,1703.0,1700,3.0,MQ,4333,N906MQ,JFK,PIT,70.0,340,15,15,2013-01-26 20:00:00+00:00
2013,1,26,1555.0,1600,-5.0,1755.0,1736,19.0,UA,325,N804UA,EWR,ORD,123.0,719,16,0,2013-01-26 21:00:00+00:00
2013,1,27,551.0,600,-9.0,840.0,859,-19.0,B6,507,N503JB,EWR,FLL,140.0,1065,6,0,2013-01-27 11:00:00+00:00
2013,1,27,810.0,800,10.0,1118.0,1122,-4.0,DL,1271,N923DL,JFK,FLL,146.0,1069,8,0,2013-01-27 13:00:00+00:00
2013,1,27,919.0,925,-6.0,1037.0,1040,-3.0,EV,4636,N16919,EWR,DCA,45.0,199,9,25,2013-01-27 14:00:00+00:00
2013,1,27,947.0,945,2.0,1103.0,1135,-32.0,WN,469,N725SW,LGA,BNA,117.0,764,9,45,2013-01-27 14:00:00+00:00
2013,1,27,1006.0,1015,-9.0,1116.0,1131,-15.0,EV,4663,N14570,EWR,IAD,50.0,212,10,15,2013-01-27 15:00:00+00:00
2013,1,28,653.0,700,-7.0,1033.0,1034,-1.0,DL,763,N705TW,JFK,LAX,348.0,2475,7,0,2013-01-28 12:00:00+00:00
2013,1,28,818.0,759,19.0,919.0,909,10.0,EV,4457,N13969,EWR,MHT,37.0,209,7,59,2013-01-28 12:00:00+00:00
2013,1,28,1949.0,2005,-16.0,2216.0,2230,-14.0,9E,4033,N8736A,LGA,TYS,99.0,647,20,5,2013-01-29 01:00:00+00:00
2013,1,28,2008.0,1930,38.0,2148.0,2115,33.0,EV,3274,N11539,LGA,CLE,71.0,419,19,30,2013-01-29 00:00:00+00:00
2013,1,28,2039.0,1945,54.0,2145.0,2105,40.0,EV,4108,N18556,EWR,IAD,41.0,212,19,45,2013-01-29 00:00:00+00:00
2013,1,28,,1640,,,1955,,AA,773,N512AA,LGA,DFW,,1389,16,40,2013-01-28 21:00:00+00:00
2013,1,29,853.0,859,-6.0,1111.0,1145,-34.0,DL,1747,N633DL,LGA,ATL,111.0,762,8,59,2013-01-29 13:00:00+00:00
2013,1,29,1553.0,1600,-7.0,1825.0,1834,-9.0,FL,620,N971AT,LGA,ATL,122.0,762,16,0,2013-01-29 21:00:00+00:00
2013,1,29,1636.0,1640,-4.0,1833.0,1835,-2.0,WN,372,N953WN,LGA,STL,145.0,888,16,40,2013-01-29 21:00:00+00:00
2013,1,29,1814.0,1820,-6.0,2136.0,2150,-14.0,AA,119,N3FAAA,EWR,LAX,352.0,2454,18,20,2013-01-29 23:00:00+00:00
2013,1,30,1222.0,1150,32.0,1421.0,1345,36.0,MQ,4646,N500MQ,LGA,MSP,151.0,1020,11,50,2013-01-30 16:00:00+00:00
2013,1,30,1614.0,1459,75.0,1911.0,1757,74.0,B6,393,N706JB,LGA,MCO,148.0,950,14,59,2013-01-30 19:00:00+00:00
2013,1,30,,1520,,,1654,,9E,4105,,JFK,IAD,,228,15,20,2013-01-30 20:00:00+00:00
